"Bank","Code","Country","Tag","Currency"
"TELECOM","TELECOM","CM","TELECOM","XAF"
"BGFI","BGFI","CM","BGFI","XAF"
"BICEC","BICEC","CM","BICEC","XAF"
"CBC","CBC","CM","CBC","XAF"
"YUP","YUP","CM","YUP","XAF"
"EUMOBILE","EUMOBILE","CG","EUMOBILE","XAF"
"LAREGIONALE","LAREGIONALE","CG","LAREGIONALE","XAF"
"MTN","MTN","CG","MTN","XAF"
"UBC","UBC","CG","UBC","XAF"
"CCA","CCA","CG","CCA","XAF"
"ORANGE MONEY","ORANGEMONEY","CG","ORANGEMONEY","XAF"
"ORANGE","ORANGE","CG","ORANGE","XAF"
"MOOV","MOOV","CG","MOOV","XAF"
"TELECOM","TELECOM","CG","TELECOM","XAF"
"BGFI","BGFI","CG","BGFI","XAF"
"BICEC","BICEC","CG","BICEC","XAF"
"CBC","CBC","CG","CBC","XAF"
"YUP","YUP","CG","YUP","XAF"
"EUMOBILE","EUMOBILE","CF","EUMOBILE","XAF"
"LAREGIONALE","LAREGIONALE","CF","LAREGIONALE","XAF"
"MTN","MTN","CF","MTN","XAF"
"UBC","UBC","CF","UBC","XAF"
"CCA","CCA","CF","CCA","XAF"
"ORANGE MONEY","ORANGEMONEY","CF","ORANGEMONEY","XAF"
"ORANGE","ORANGE","CF","ORANGE","XAF"
"MOOV","MOOV","CF","MOOV","XAF"
"TELECOM","TELECOM","CF","TELECOM","XAF"
"BGFI","BGFI","CF","BGFI","XAF"
"BICEC","BICEC","CF","BICEC","XAF"
"CBC","CBC","CF","CBC","XAF"
"YUP","YUP","CF","YUP","XAF"
"EUMOBILE","EUMOBILE","TD","EUMOBILE","XAF"
"LAREGIONALE","LAREGIONALE","TD","LAREGIONALE","XAF"
"MTN","MTN","TD","MTN","XAF"
"UBC","UBC","TD","UBC","XAF"
"CCA","CCA","TD","CCA","XAF"
"ORANGE MONEY","ORANGEMONEY","TD","ORANGEMONEY","XAF"
"ORANGE","ORANGE","TD","ORANGE","XAF"
"MOOV","MOOV","TD","MOOV","XAF"
"TELECOM","TELECOM","TD","TELECOM","XAF"
"BGFI","BGFI","TD","BGFI","XAF"
"BICEC","BICEC","TD","BICEC","XAF"
"CBC","CBC","TD","CBC","XAF"
"YUP","YUP","TD","YUP","XAF"
"EUMOBILE","EUMOBILE","GA","EUMOBILE","XAF"
"LAREGIONALE","LAREGIONALE","GA","LAREGIONALE","XAF"
"MTN","MTN","GA","MTN","XAF"
"UBC","UBC","GA","UBC","XAF"
"CCA","CCA","GA","CCA","XAF"
"ORANGE MONEY","ORANGEMONEY","GA","ORANGEMONEY","XAF"
"ORANGE","ORANGE","GA","ORANGE","XAF"
"MOOV","MOOV","GA","MOOV","XAF"
"TELECOM","TELECOM","GA","TELECOM","XAF"
"BGFI","BGFI","GA","BGFI","XAF"
"BICEC","BICEC","GA","BICEC","XAF"
"CBC","CBC","GA","CBC","XAF"
